"Species","Genus","Family","species.relative","genus.relative"
"Astrocaryum murumuru","Astrocaryum","Arecaceae",,
"Viburnum seemenii","Viburnum","Adoxaceae",,
"Solanum lindenii","Solanum","Solanaceae",,
"Luehea splendens","Luehea","Malvaceae",,
"Dalbergia TMG670","Dalbergia","Fabaceae",,
"Celtis schippii","Celtis","Cannabaceae",,
"Seguieria aculeata","Seguieria","Petiveriaceae",,
"Ceiba boliviana","Ceiba","Malvaceae",,
"Eugenia AM2539","Eugenia","Myrtaceae",,
"Dolichandra quadrivalvis","Dolichandra","Bignoniaceae",,
"Rauia resinosa","Rauia","Rutaceae",,
"Hebanthe occidentalis","Hebanthe","Amaranthaceae",,
"Vochysia boliviana","Vochysia","Vochysiaceae",,
"Cheiloclinium cognatum","Cheiloclinium","Celastraceae",,
"Myrcia sylvatica","Myrcia","Myrtaceae",,
"Croton pilulifer","Croton","Euphorbiaceae",,
"Urera laciniata","Urera","Urticaceae",,
"Ilex goudotii","Ilex","Aquifoliaceae",,
"Cybianthus laetus","Cybianthus","Primulaceae",,
"Schinopsis brasiliensis","Schinopsis","Anacardiaceae",,
"Myrcia AAD771","Myrcia","Myrtaceae",,
"Macrocarpaea cinchonifolia","Macrocarpaea","Gentianaceae",,
"Clusia AF5052","Clusia","Clusiaceae",,
"Myrsine AM3700","Myrsine","Primulaceae",,
"Garcinia madruno","Garcinia","Clusiaceae",,
"Pouteria longifolia","Pouteria","Sapotaceae",,
"Freziera uncinata","Freziera","Pentaphylacaceae",,
"Miconia AF8768","Miconia","Melastomataceae",,
"Miconia flavescens","Miconia","Melastomataceae",,
"Prunus stipulata","Prunus","Rosaceae",,
"Podocarpus rusbyi","Podocarpus","Podocarpaceae",,
"Ilex GAT2758","Ilex","Aquifoliaceae",,
"Rinorea apiculata","Rinorea","Violaceae",,
"Ladenbergia carua","Ladenbergia","Rubiaceae",,
"Hedyosmum scabrum","Hedyosmum","Chloranthaceae",,
"Pourouma cecropiifolia","Pourouma","Urticaceae",,
"Miconia minutiflora","Miconia","Melastomataceae",,
"Ocotea LC4144A","Ocotea","Lauraceae",,
"Cinchona asperifolia","Cinchona","Rubiaceae",,
"Miconia glandulifera","Miconia","Melastomataceae",,
"Endlicheria canescens","Endlicheria","Lauraceae",,
"Juglans boliviana","Juglans","Juglandaceae",,
"Clavija nutans","Clavija","Primulaceae",,
"Cynophalla amplissima","Cynophalla","Capparaceae",,
"Clusia loretensis","Clusia","Clusiaceae",,
"Piper obliquum","Piper","Piperaceae",,
"Miconia barbeyana","Miconia","Melastomataceae",,
"Ladenbergia crassifolia","Ladenbergia","Rubiaceae",,
"Ladenbergia bullata","Ladenbergia","Rubiaceae",,
"Deguelia scandens","Deguelia","Fabaceae",,
"Chimarrhis glabriflora","Chimarrhis","Rubiaceae",,
"Endlicheria szyszylowiczii","Endlicheria","Lauraceae",,
"Copaifera langsdorffii","Copaifera","Fabaceae",,
"Machaerium biovulatum","Machaerium","Fabaceae",,
"Ilex mandonii","Ilex","Aquifoliaceae",,
"Dendropanax inaequalipedunculatus","Dendropanax","Araliaceae",,
"Palicourea tinctoria","Palicourea","Rubiaceae",,
"Miconia calvescens","Miconia","Melastomataceae",,
"Neea ovalifolia","Neea","Nyctaginaceae",,
"Zanthoxylum fagara","Zanthoxylum","Rutaceae",,
"Mauritia flexuosa","Mauritia","Arecaceae",,
"Triplaris americana","Triplaris","Polygonaceae",,
"Bactris major","Bactris","Arecaceae",,
"Hieronyma NA445","Hieronyma","Phyllanthaceae",,
"Miconia ruizii","Miconia","Melastomataceae",,
"Miconia GAT2737","Miconia","Melastomataceae",,
"Sciodaphyllum ECQ54","Sciodaphyllum","Araliaceae",,
"Persea LC3703","Persea","Lauraceae",,
"Tibouchina bicolor","Tibouchina","Melastomataceae",,
"Trema domingensis","Trema","Cannabaceae",,
"Aphelandra castaneifolia","Aphelandra","Acanthaceae",,
"Holocalyx balansae","Holocalyx","Fabaceae",,
"Tanaecium pyramidatum","Tanaecium","Bignoniaceae",,
"Guapira MJM5445","Guapira","Nyctaginaceae",,
"Connarus perrottetii","Connarus","Connaraceae",,
"Casearia javitensis","Casearia","Salicaceae",,
"Sloanea tuerckheimii","Sloanea","Elaeocarpaceae",,
"Casearia arborea","Casearia","Salicaceae",,
"Qualea acuminata","Qualea","Vochysiaceae",,
"Guatteria foliosa","Guatteria","Annonaceae",,
"Sacoglottis mattogrossensis","Sacoglottis","Humiriaceae",,
"Forsteronia australis","Forsteronia","Apocynaceae",,
"Cavanillesia umbellata","Cavanillesia","Malvaceae",,
"Siphoneugena AF19267","Siphoneugena","Myrtaceae",,
"Geissanthus ambigua","Geissanthus","Primulaceae",,
"Miconia lasiocalyx","Miconia","Melastomataceae",,
"Geonoma undata","Geonoma","Arecaceae",,
"Begonia parviflora","Begonia","Begoniaceae",,
"Myriocarpa stipitata","Myriocarpa","Urticaceae",,
"Hedyosmum cuatrecazanum","Hedyosmum","Chloranthaceae",,
"Miconia centrodesma","Miconia","Melastomataceae",,
"Meliosma ALM190","Meliosma","Sabiaceae",,
"Zygia coccinea","Zygia","Fabaceae",,
"Hippocratea volubilis","Hippocratea","Celastraceae",,
"Persea LC3301","Persea","Lauraceae",,
"Annona emarginata","Annona","Annonaceae",,
"Miconia undata","Miconia","Melastomataceae",,
"Ocotea AF15396","Ocotea","Lauraceae",,
"Miconia JQQ937","Miconia","Melastomataceae",,
"Pourouma bicolor","Pourouma","Urticaceae",,
"Roupala montana","Roupala","Proteaceae",,
"Picramnia gracilis","Picramnia","Picramniaceae",,
"Graffenrieda limbata","Graffenrieda","Melastomataceae",,
"Sessea dependens","Sessea","Solanaceae",,
"Nordenstamia repanda","Nordenstamia","Asteraceae",,
"Miconia cernuiflora","Miconia","Melastomataceae",,
"Miconia AF16185","Miconia","Melastomataceae",,
"Pentacalia herzogii","Pentacalia","Asteraceae",,
"Endlicheria AM3310","Endlicheria","Lauraceae",,
"Symplocos mapiriensis","Symplocos","Symplocaceae",,
"Alchornea brittonii","Alchornea","Euphorbiaceae",,
"Monnina ILR1917","Monnina","Polygalaceae",,
"Miconia ILR1877","Miconia","Melastomataceae",,
"Connarus punctatus","Connarus","Connaraceae",,
"Drypetes amazonica","Drypetes","Putranjivaceae",,
"Triplaris setosa","Triplaris","Polygonaceae",,
"Theobroma cacao","Theobroma","Malvaceae",,
"Stylogyne ardisioides","Stylogyne","Primulaceae",,
"Uncaria guianensis","Uncaria","Rubiaceae",,
"Serjania AF9401","Serjania","Sapindaceae",,
"Eumachia boliviana","Eumachia","Rubiaceae",,
"Miconia splendens","Miconia","Melastomataceae",,
"Miconia CMG2345","Miconia","Melastomataceae",,
"Miconia RSS79","Miconia","Melastomataceae",,
"Peritassa peruviana","Peritassa","Celastraceae",,
"Rinorea guianensis","Rinorea","Violaceae",,
"Piper multiplinervium","Piper","Piperaceae",,
"Diplopterys cururuensis","Diplopterys","Malpighiaceae",,
"Tapura juruana","Tapura","Dichapetalaceae",,
"Ilex hippocrateoides","Ilex","Aquifoliaceae",,
"Celastrus liebmannii","Celastrus","Celastraceae",,
"Persea peruviana","Persea","Lauraceae",,
"Tovomita weddelliana","Tovomita","Clusiaceae",,
"Salacia MJM3935","Salacia","Celastraceae",,
"Piper heterophyllum","Piper","Piperaceae",,
"Byttneria pescapriifolia","Byttneria","Malvaceae",,
"Pleurothyrium cuneifolium","Pleurothyrium","Lauraceae",,
"Polylepis canoi","Polylepis","Rosaceae",,
"Miconia amnicola","Miconia","Melastomataceae",,
"Hedyosmum maximum","Hedyosmum","Chloranthaceae",,
"Symplocos baehnii","Symplocos","Symplocaceae",,
"Miconia sp16","Miconia","Melastomataceae",,
"Gynoxys sp1","Gynoxys","Asteraceae",,
"Ocotea tessmannii","Ocotea","Lauraceae",,
"Miconia prasina","Miconia","Melastomataceae",,
"Miconia terera","Miconia","Melastomataceae",,
"Miconia sp49","Miconia","Melastomataceae",,
"Psychotria pichisensis","Psychotria","Rubiaceae",,
"Virola duckei","Virola","Myristicaceae",,
"Nectandra sp76","Nectandra","Lauraceae",,
"Clarisia racemosa","Clarisia","Moraceae",,
"Jacaratia chocoensis","Jacaratia","Caricaceae",,
"Condaminea corymbosa","Condaminea","Rubiaceae",,
"Sapium laurifolium","Sapium","Euphorbiaceae",,
"Inga oerstediana","Inga","Fabaceae",,
"Caryocar amygdaliforme","Caryocar","Caryocaraceae",,
"Miconia aulocalyx","Miconia","Melastomataceae",,
"Ocotea cernua","Ocotea","Lauraceae",,
"Cinchona micrantha","Cinchona","Rubiaceae",,
"Hieronyma macrocarpa","Hieronyma","Phyllanthaceae",,
"Cyathea lindeniana","Cyathea","Cyatheaceae",,
"Abarema jupunba","Abarema","Fabaceae",,
"Solanum maturecalvans","Solanum","Solanaceae",,
"Freziera karsteniana","Freziera","Pentaphylacaceae",,
"Miconia sp42","Miconia","Melastomataceae",,
"Miconia cookii","Miconia","Melastomataceae",,
"Cyathea catacampta","Cyathea","Cyatheaceae",,
"Alchornea pearcei","Alchornea","Euphorbiaceae",,
"Ocotea alveata","Ocotea","Lauraceae",,
"Ilex laurina","Ilex","Aquifoliaceae",,
"Schefflera patula","Schefflera","Araliaceae",,
"Cupania rubiginosa","Cupania","Sapindaceae",,
"Meliosma frondosa","Meliosma","Sabiaceae",,
"Croton sampatik","Croton","Euphorbiaceae",,
"Protium glabrescens","Protium","Burseraceae",,
"Miconia aristata","Miconia","Melastomataceae",,
"Pourouma sp1","Pourouma","Urticaceae",,
"Hydrangea preslii","Hydrangea","Hydrangeaceae",,
"Tachigali setifera","Tachigali","Fabaceae",,
"Larnax sp1","Larnax","Solanaceae",,
"Baccharis buxifolia","Baccharis","Asteraceae",,
"Miconia sp28","Miconia","Melastomataceae",,
"Podocarpus sp2","Podocarpus","Podocarpaceae",,
"Alchornea latifolia","Alchornea","Euphorbiaceae",,
"Geonoma sp4","Geonoma","Arecaceae",,
"Cecropia sp9","Cecropia","Urticaceae",,
"Monina sp3","Monina","Polygalaceae",,
"Pentacalia sp9","Pentacalia","Asteraceae",,
"Sapium sp1","Sapium","Euphorbiaceae",,
"Tapirira sp1","Tapirira","Anacardiaceae",,
"Cissus trianae","Cissus","Vitaceae",,
"Miconia stenostachya","Miconia","Melastomataceae",,
"Pouroma bicolor","Pouroma","Urticaceae",,
"Miconia astroplacama","Miconia","Melastomataceae",,
"Ilex sp2","Ilex","Aquifoliaceae",,
"Hieronyma sp4","Hieronyma","Euphorbiaceae",,
"Psychotria sp4","Psychotria","Rubiaceae",,
"Miconia sp3","Miconia","Melastomataceae",,
"Kielmeyera paniculata","Kielmeyera","Calophyllaceae",,
"Bauhinia APC43","Bauhinia","Fabaceae",,
"Miconia mandonii","Miconia","Melastomataceae",,
"Tovomita obovata","Tovomita","Clusiaceae",,
"Handroanthus impetiginosus","Handroanthus","Bignoniaceae",,
"Miconia MCM1097","Miconia","Melastomataceae",,
"Pourouma guianensis","Pourouma","Urticaceae",,
"Psychotria LC6490","Psychotria","Rubiaceae",,
"Oreopanax trollii","Oreopanax","Araliaceae",,
"Prunus brittoniana","Prunus","Rosaceae",,
"Piptadenia gonoacantha","Piptadenia","Fabaceae",,
"Otoba parvifolia","Otoba","Myristicaceae",,
"Iryanthera juruensis","Iryanthera","Myristicaceae",,
"Myrsine pearcei","Myrsine","Primulaceae",,
"Quararibea amazonica","Quararibea","Malvaceae",,
"Prumnopitys harmsiana","Prumnopitys","Podocarpaceae",,
"Bunchosia armeniaca","Bunchosia","Malpighiaceae",,
"Brosimum alicastrum","Brosimum","Moraceae",,
"Leonia crassa","Leonia","Violaceae",,
"Triplaris vestita","Triplaris","Polygonaceae",,
"Diplopterys pubipetala","Diplopterys","Malpighiaceae",,
"Clethra elongata","Clethra","Clethraceae",,
"Ageratina gloeoclada","Ageratina","Asteraceae",,
"Hesperomeles ferruginea","Hesperomeles","Rosaceae",,
"Allophylus pauciflorus","Allophylus","Sapindaceae",,
"Meliosma glabrata","Meliosma","Sabiaceae",,
"Mascagnia LC3357","Mascagnia","Malpighiaceae",,
"Ilex inundata","Ilex","Aquifoliaceae",,
"Calatola costaricensis","Calatola","Metteniusaceae",,
"Psychotria AF11394","Psychotria","Rubiaceae",,
"Aiouea AF9030","Aiouea","Lauraceae",,
"Miconia matthaei","Miconia","Melastomataceae",,
"Vochysia mapirensis","Vochysia","Vochysiaceae",,
"Nectandra lineatifolia","Nectandra","Lauraceae",,
"Nectandra laurel","Nectandra","Lauraceae",,
"Oxandra mediocris","Oxandra","Annonaceae",,
"Strychnos asperula","Strychnos","Loganiaceae",,
"Mabea anadena","Mabea","Euphorbiaceae",,
"Miconia cyanocarpa","Miconia","Melastomataceae",,
"Elaeagia microcarpa","Elaeagia","Rubiaceae",,
"Dasyphyllum brasiliense","Dasyphyllum","Asteraceae",,
"Ocotea AM3387","Ocotea","Lauraceae",,
"Tachigali guianensis","Tachigali","Fabaceae",,
"Pouteria ephedrantha","Pouteria","Sapotaceae",,
"Psychotria viridis","Psychotria","Rubiaceae",,
"Symplocos quitensis","Symplocos","Symplocaceae",,
"Cordia ucayaliensis","Cordia","Boraginaceae",,
"Micropholis guyanensis","Micropholis","Sapotaceae",,
"Cyathea sp27","Cyathea","Cyatheaceae",,
"Cyathea sp20","Cyathea","Cyatheaceae",,
"Nectandra sp11","Nectandra","Lauraceae",,
"Nectandra sp13","Nectandra","Lauraceae",,
"Dendropanax sp1","Dendropanax","Araliaceae",,
"Inga chartacea","Inga","Fabaceae",,
"Endlicheria griseo-sericea","Endlicheria","Lauraceae",,
"Miconia spennerostachya","Miconia","Melastomataceae",,
"Ficus sphenophylla","Ficus","Moraceae",,
"Miconia sp64","Miconia","Melastomataceae",,
"Miconia sp30","Miconia","Melastomataceae",,
"Psidium oligospermum","Psidium","Myrtaceae",,
"Miconia biacuta","Miconia","Melastomataceae",,
"Podocarpus ingensis","Podocarpus","Podocarpaceae",,
"Cordia alliodora","Cordia","Boraginaceae",,
"Annona RSS85","Annona","Annonaceae",,
"Psychotria AF16987","Psychotria","Rubiaceae",,
"Clidemia GAT1586","Clidemia","Melastomataceae",,
"Pouteria ETP48","Pouteria","Sapotaceae",,
"Meliosma ETP323","Meliosma","Sabiaceae",,
"Tetrorchidium andinum","Tetrorchidium","Euphorbiaceae",,
"Ocotea FZR18951","Ocotea","Lauraceae",,
"Ocotea ECQ72","Ocotea","Lauraceae",,
"Aegiphila multiflora","Aegiphila","Lamiaceae",,
"Inga heterophylla","Inga","Fabaceae",,
"Licaria pucheri","Licaria","Lauraceae",,
"Weinmannia lechleriana","Weinmannia","Cunoniaceae",,
"Ocotea micrantha","Ocotea","Lauraceae",,
"Inga ruiziana","Inga","Fabaceae",,
"Urera baccifera","Urera","Urticaceae",,
"Senegalia polyphylla","Senegalia","Fabaceae",,
"Xylosma tessmannii","Xylosma","Salicaceae",,
"Inga striata","Inga","Fabaceae",,
"Hirtella racemosa","Hirtella","Chrysobalanaceae",,
"Pleroma granulosum","Pleroma","Melastomataceae",,
"Gynoxys mandonii","Gynoxys","Asteraceae",,
"Pouteria cladantha","Pouteria","Sapotaceae",,
"Sparattanthelium amazonum","Sparattanthelium","Hernandiaceae",,
"Pouteria trilocularis","Pouteria","Sapotaceae",,
"Sciodaphyllum patulum","Sciodaphyllum","Araliaceae",,
"Sorocea briquetii","Sorocea","Moraceae",,
"Terminalia triflora","Terminalia","Combretaceae",,
"Siolmatra brasiliensis","Siolmatra","Cucurbitaceae",,
"Clusia haughtii","Clusia","Clusiaceae",,
"Piper laevigatum","Piper","Piperaceae",,
"Calyptranthes lanceolata","Calyptranthes","Myrtaceae",,
"Rinorea lindeniana","Rinorea","Violaceae",,
"Cyathea parvifolia","Cyathea","Cyatheaceae",,
"Miconia MRL94","Miconia","Melastomataceae",,
"Ceroxylon pityrophyllum","Ceroxylon","Arecaceae",,
"Psammisia urichiana","Psammisia","Ericaceae",,
"Bignonia lilacina","Bignonia","Bignoniaceae",,
"Trichilia claussenii","Trichilia","Meliaceae",,
"Siparuna decipiens","Siparuna","Siparunaceae",,
"Tynanthus schumannianus","Tynanthus","Bignoniaceae",,
"Forsteronia amblybasis","Forsteronia","Apocynaceae",,
"Erythrochiton fallax","Erythrochiton","Rutaceae",,
"Schnella microstachya","Schnella","Fabaceae",,
"Miconia GAT1254","Miconia","Melastomataceae",,
"Senegalia rhytidocarpa","Senegalia","Fabaceae",,
"Neea divaricata","Neea","Nyctaginaceae",,
"Calyptranthes speciosa","Calyptranthes","Myrtaceae",,
"Muehlenbeckia tamnifolia","Muehlenbeckia","Polygonaceae",,
"Rhamnus sphaerosperma","Rhamnus","Rhamnaceae",,
"Ternstroemia GAT2371","Ternstroemia","Pentaphylacaceae",,
"Vallea stipularis","Vallea","Elaeocarpaceae",,
"Leretia cordata","Leretia","Icacinaceae",,
"Columellia oblonga","Columellia","Columelliaceae",,
"Cissus verticillata","Cissus","Vitaceae",,
"Guarea gomma","Guarea","Meliaceae",,
"Dussia MJM6130","Dussia","Fabaceae",,
"Miconia regelii","Miconia","Melastomataceae",,
"Cybianthus peruvianus","Cybianthus","Primulaceae",,
"Piper pseudoarboreum","Piper","Piperaceae",,
"Aiphanes horrida","Aiphanes","Arecaceae",,
"Machaerium acutifolium","Machaerium","Fabaceae",,
"Serjania LC4985","Serjania","Sapindaceae",,
"Doliocarpus dentatus","Doliocarpus","Dilleniaceae",,
"Solanum roseum","Solanum","Solanaceae",,
"Byrsonima spicata","Byrsonima","Malpighiaceae",,
"Brunellia boliviana","Brunellia","Brunelliaceae",,
"Iresine diffusa","Iresine","Amaranthaceae",,
"Acalypha macrostachya","Acalypha","Euphorbiaceae",,
"Alchornea anamariae","Alchornea","Euphorbiaceae",,
"Pouteria reticulata","Pouteria","Sapotaceae",,
"Paullinia platymisca","Paullinia","Sapindaceae",,
"Pentacalia psidiifolia","Pentacalia","Asteraceae",,
"Pleurothyrium trianae","Pleurothyrium","Lauraceae",,
"Chrysochlamys weberbaueri","Chrysochlamys","Clusiaceae",,
"Prunus subcorymbosa","Prunus","Rosaceae",,
"Guarea pterorhachis","Guarea","Meliaceae",,
"Randia armata","Randia","Rubiaceae",,
"Mouriri myrtilloides","Mouriri","Melastomataceae",,
"Eugenia flavescens","Eugenia","Myrtaceae",,
"Miconia dispar","Miconia","Melastomataceae",,
"Banisteriopsis padifolia","Banisteriopsis","Malpighiaceae",,
"Talisia macrophylla","Talisia","Sapindaceae",,
"Mayna odorata","Mayna","Achariaceae",,
"Sloanea guianensis","Sloanea","Elaeocarpaceae",,
"Fridericia dichotoma","Fridericia","Bignoniaceae",,
"Spondias mombin","Spondias","Anacardiaceae",,
"Buddleja montana","Buddleja","Scrophulariaceae",,
"Porcelia ponderosa","Porcelia","Annonaceae",,
"Ficus casapiensis","Ficus","Moraceae",,
"Jacaranda glabra","Jacaranda","Bignoniaceae",,
"Protium altsonii","Protium","Burseraceae",,
"Conceveiba terminalis","Conceveiba","Euphorbiaceae",,
"Sapium glandulosum","Sapium","Euphorbiaceae",,
"Nectandra sp4","Nectandra","Lauraceae",,
"Sloanea terniflora","Sloanea","Elaeocarpaceae",,
"Brunellia inermis","Brunellia","Brunelliaceae",,
"Schefflera sp1","Schefflera","Araliaceae",,
"Axinaea pennellii","Axinaea","Melastomataceae",,
"Alsophila minervae","Alsophila","Cyatheaceae",,
"Miconia madisonii","Miconia","Melastomataceae",,
"Symplocos sp4","Symplocos","Symplocaceae",,
"Myrcia rostrata","Myrcia","Myrtaceae",,
"Alchornea acutifolia","Alchornea","Euphorbiaceae",,
"Brosimum utile","Brosimum","Moraceae",,
"Licania hispida","Licania","Chrysobalanaceae",,
"Inga sp4","Inga","Fabaceae",,
"Annona papilionella","Annona","Annonaceae",,
"Allophylus divaricatus","Allophylus","Sapindaceae",,
"Clusia sp16","Clusia","Clusiaceae",,
"Persea sp10","Persea","Lauraceae",,
"Freziera parva","Freziera","Theaceae",,
"Ceroxylon sp2","Ceroxylon","Arecaceae",,
"Polylepis sericea","Polylepis","Rosaceae",,
"Cyathea sp22","Cyathea","Cyatheaceae",,
"Psychotria sp11","Psychotria","Rubiaceae",,
"Wettinia augusta","Wettinia","Arecaceae",,
"Miconia sp59","Miconia","Melastomataceae",,
"Persea ferruginea","Persea","Lauraceae",,
"Aequatorium sp1","Aequatorium","Asteraceae",,
"Symplocos reflexa","Symplocos","Symplocaceae",,
"Brunellia weberbaueri","Brunellia","Brunelliaceae",,
"Clidemia sp55","Clidemia","Melastomataceae",,
"Clusia elliptica","Clusia","Clusiaceae",,
"Sideroxylon obtusifolium","Sideroxylon","Sapotaceae",,
"Chalybea AM3664","Chalybea","Melastomataceae",,
"Ormosia fastigiata","Ormosia","Fabaceae",,
"Chaetocarpus myrsinites","Chaetocarpus","Euphorbiaceae",,
"Manihot anomala","Manihot","Euphorbiaceae",,
"Ceroxylon parvifrons","Ceroxylon","Arecaceae",,
"Palicourea flavifolia","Palicourea","Rubiaceae",,
"Protium amazonicum","Protium","Burseraceae",,
"Baccharis trinervis","Baccharis","Asteraceae",,
"Aniba panurensis","Aniba","Lauraceae",,
"Ternstroemia AF14004","Ternstroemia","Pentaphylacaceae",,
"Tanaecium selloi","Tanaecium","Bignoniaceae",,
"Acalypha stenoloba","Acalypha","Euphorbiaceae",,
"Piper peltilimbum","Piper","Piperaceae",,
"Dacryodes sudyungasensis","Dacryodes","Burseraceae",,
"Miconia sp10","Miconia","Melastomataceae",,
"Nectandra sp9","Nectandra","Lauraceae",,
"Faramea bangii","Faramea","Rubiaceae",,
"Weinmannia multijuga","Weinmannia","Cunoniaceae",,
"Graffenrieda sp","Graffenrieda","Melastomataceae",,
"Miconia axinaeoides","Miconia","Melastomataceae",,
"Croton lechleri","Croton","Euphorbiaceae",,
"Pentacalia sp6","Pentacalia","Asteraceae",,
"Gynoxys sp8","Gynoxys","Asteraceae",,
"Cyathea multisegmenta","Cyathea","Cyatheaceae",,
"Trigonia laevis","Trigonia","Trigoniaceae",,
"Coccoloba CMG1676","Coccoloba","Polygonaceae",,
"Ficus coerulescens","Ficus","Moraceae",,
"Cayaponia tubulosa","Cayaponia","Cucurbitaceae",,
"Aspidosperma excelsum","Aspidosperma","Apocynaceae",,
"Esenbeckia almawillia","Esenbeckia","Rutaceae",,
"Clethra GAT2810","Clethra","Clethraceae",,
"Persea areolatocostae","Persea","Lauraceae",,
"Faramea multiflora","Faramea","Rubiaceae",,
"Hieronyma oblonga","Hieronyma","Phyllanthaceae",,
"Naucleopsis krukovii","Naucleopsis","Moraceae",,
"Machaerium hirtum","Machaerium","Fabaceae",,
"Pterocarpus amazonum","Pterocarpus","Fabaceae",,
"Ruizodendron ovale","Ruizodendron","Annonaceae",,
"Bauhinia ungulata","Bauhinia","Fabaceae",,
"Ocotea ILR1334","Ocotea","Lauraceae",,
"Cybianthus comperuvianus","Cybianthus","Primulaceae",,
"Solanum sessile","Solanum","Solanaceae",,
"Faramea anisocalyx","Faramea","Rubiaceae",,
"Inga MJM4922","Inga","Fabaceae",,
"Ormosia GAT2043","Ormosia","Fabaceae",,
"Alsophila cuspidata","Alsophila","Cyatheaceae",,
"Warszewiczia coccinea","Warszewiczia","Rubiaceae",,
"Eriotheca globosa","Eriotheca","Malvaceae",,
"Meriania sp2","Meriania","Melastomataceae",,
"Cecropia tacuna","Cecropia","Urticaceae",,
"Nectandra cuspidata","Nectandra","Lauraceae",,
"Cyathea sp23","Cyathea","Cyatheaceae",,
"Croton sp2","Croton","Euphorbiaceae",,
"Chrysoclamis ulei","Chrysoclamis","Clusiaceae",,
"Psychotria sp8","Psychotria","Rubiaceae",,
"Geonoma sp2","Geonoma","Arecaceae",,
"Mouriri grandiflora","Mouriri","Melastomataceae",,
"Ficus maroma","Ficus","Moraceae",,
"Ruagea glabra","Ruagea","Meliaceae",,
"Solanum aphyodendron","Solanum","Solanaceae",,
"Simarouba amara","Simarouba","Simaroubaceae",,
"Combretum laxum","Combretum","Combretaceae",,
"Symplocos polyphylla","Symplocos","Symplocaceae",,
"Calyptranthes JQQ980","Calyptranthes","Myrtaceae",,
"Sapindus saponaria","Sapindus","Sapindaceae",,
"Cestrum schlechtendalii","Cestrum","Solanaceae",,
"Duguetia hadrantha","Duguetia","Annonaceae",,
"Ficus obtusifolia","Ficus","Moraceae",,
"Machaerium trifoliolatum","Machaerium","Fabaceae",,
"Monnina GAT2491","Monnina","Polygalaceae",,
"Psychotria FB294","Psychotria","Rubiaceae",,
"Ilex nervosa","Ilex","Aquifoliaceae",,
"Weinmannia AF16591","Weinmannia","Cunoniaceae",,
"Schradera subandina","Schradera","Rubiaceae",,
"Ruagea ovalis","Ruagea","Meliaceae",,
"Geissanthus bangii","Geissanthus","Primulaceae",,
"Ternstroemia AF7486","Ternstroemia","Pentaphylacaceae",,
"Guarea guidonia","Guarea","Meliaceae",,
"Tovomita GAT1568","Tovomita","Clusiaceae",,
"Dendropanax membranaceus","Dendropanax","Araliaceae",,
"Pouteria nemorosa","Pouteria","Sapotaceae",,
"Virola calophylla","Virola","Myristicaceae",,
"Sloanea sinemariensis","Sloanea","Elaeocarpaceae",,
"Myrsine sp6","Myrsine","Primulaceae",,
"Oreopanax microflorous","Oreopanax","Araliaceae",,
"Ruagea sp2","Ruagea","Meliaceae",,
"Vochysia kosnipatae","Vochysia","Vochysiaceae",,
"Clusia sp11","Clusia","Clusiaceae",,
"Miconia sp38","Miconia","Melastomataceae",,
"Croton rusbyi","Croton","Euphorbiaceae",,
"Prunus amplifolia","Prunus","Rosaceae",,
"Pouteria baehniana","Pouteria","Sapotaceae",,
"Annona montana","Annona","Annonaceae",,
"Abuta grandifolia","Abuta","Menispermaceae",,
"Cissus camiriensis","Cissus","Vitaceae",,
"Persea AF12172","Persea","Lauraceae",,
"Weinmannia MCM1102","Weinmannia","Cunoniaceae",,
"Saurauia spectabilis","Saurauia","Actinidiaceae",,
"Piper psilophyllum","Piper","Piperaceae",,
"Eugenia CMG2092","Eugenia","Myrtaceae",,
"Marcgravia weberbaueri","Marcgravia","Marcgraviaceae",,
"Trichilia rubra","Trichilia","Meliaceae",,
"Quiina florida","Quiina","Ochnaceae",,
"Satyria leucostoma","Satyria","Ericaceae",,
"Psychotria CMG2789","Psychotria","Rubiaceae",,
"Miconia glomerulifera","Miconia","Melastomataceae",,
"Forsteronia graciloides","Forsteronia","Apocynaceae",,
"Inga MCT127","Inga","Fabaceae",,
"Ceiba pentandra","Ceiba","Malvaceae",,
"Pterygota amazonica","Pterygota","Malvaceae",,
"Miconia JQQ1079","Miconia","Melastomataceae",,
"Ocotea myriantha","Ocotea","Lauraceae",,
"Haydenoxylon urbanianum","Haydenoxylon","Celastraceae",,
"Ruagea insignis","Ruagea","Meliaceae",,
"Miconia GAT1560","Miconia","Melastomataceae",,
"Palicourea grandiflora","Palicourea","Rubiaceae",,
"Inga auristellae","Inga","Fabaceae",,
"Parinari occidentalis","Parinari","Chrysobalanaceae",,
"Lissocarpa uyat","Lissocarpa","Ebenaceae",,
"Posoqueria coriacea","Posoqueria","Rubiaceae",,
"Cordia scabrifolia","Cordia","Boraginaceae",,
"Styrax foveolaria","Styrax","Styracaceae",,
"Myrsine sp2","Myrsine","Primulaceae",,
"Cyathea sp16","Cyathea","Cyatheaceae",,
"Endlicheria aurea","Endlicheria","Lauraceae",,
"Ilex aggregata","Ilex","Aquifoliaceae",,
"Ocotea NPZ5097","Ocotea","Lauraceae",,
"Hieronyma MVH157","Hieronyma","Phyllanthaceae",,
"Eugenia marlierioides","Eugenia","Myrtaceae",,
"Miconia quadrialata","Miconia","Melastomataceae",,
"Neea GAT1194","Neea","Nyctaginaceae",,
"Myriocarpa tatei","Myriocarpa","Urticaceae",,
