PlotName	TypeOfName	Family	Genus	Species	PlotType	MinimumElevationMeters	SpeciesName
nPT_Delarr_253	SpeciesName	Hypericaceae	Vismia	glabra	PT	1223	Vismia glabra
nPT_Curcur_79	SpeciesName	Lauraceae	Licaria	guianensis	PT	1993	Licaria guianensis
nPT_Tequej_25	MorphoSpeciesName	Sapotaceae	Pouteria	AF15574	PT	1993	Pouteria AF15574
nPP_Chiriu_2	SpeciesName	Melastomataceae	Miconia	elongata	PP	1993	Miconia elongata
nPT_Frente_247	SpeciesName	Clusiaceae	Clusia	sphaerocarpa	PT	2369	Clusia sphaerocarpa
nPP_Sanmar_23	SpeciesName	Clethraceae	Clethra	revoluta	PP	2369	Clethra revoluta
nPT_Yuchuy_323	SpeciesName	Sapotaceae	Pouteria	caimito	PT	1400	Pouteria caimito
nPT_Santaa_345	SpeciesName	Cunoniaceae	Weinmannia	ovata	PT	2400	Weinmannia ovata
nPT_Santaa_345	SpeciesName	Olacaceae	Heisteria	nitida	PT	320	Heisteria nitida
nPP_Chiriu_2	SpeciesName	Rubiaceae	Alibertia	claviflora	PP	310	Alibertia claviflora
nPT_Yariap_5	SpeciesName	Ulmaceae	Ampelocera	edentula	PT	470	Ampelocera edentula
TU-06	SpeciesName	Fabaceae	Myroxylon	balsamum	abergPT	470	Myroxylon balsamum
nPT_Patasa_325	SpeciesName	Arecaceae	Euterpe	precatoria	PT	310	Euterpe precatoria
nPT_Santar_422	MorphoSpeciesName	Melastomataceae	Miconia	LC3548	PT	3473	Miconia LC3548
nPP_Yarimi_9	SpeciesName	Piperaceae	Piper	trichogynum	PP	1408	Piper trichogynum
nPP_Fuerte_26	SpeciesName	Fabaceae	Inga	acreana	PP	1580	Inga acreana
CA-06	SpeciesName	Moraceae	Pseudolmedia	laevigata	abergPT	1654	Pseudolmedia laevigata
nPP_Santaa_36	SpeciesName	Phyllanthaceae	Hieronyma	fendleri	PP	1654	Hieronyma fendleri
TRU-07	SpeciesName	Fabaceae	Inga	multinervis	abergPP	1414	Inga multinervis
nPP_Tintay_25	SpeciesName	Piperaceae	Piper	pilirameum	PP	2663	Piper pilirameum
nPT_Cerros_182	SpeciesName	Arecaceae	Iriartea	deltoidea	PT	361	Iriartea deltoidea
nPT_Bajopp_179	SpeciesName	Fabaceae	Erythrina	poeppigiana	PT	310	Erythrina poeppigiana
TRU-06	SpeciesName	Chloranthaceae	Hedyosmum	racemosum	abergPP	1766	Hedyosmum racemosum
TRU-02	SpeciesName	Symplocaceae	Symplocos	arechea	abergPP	1735	Symplocos arechea
nPP_Chiriu_2	SpeciesName	Annonaceae	Unonopsis	floribunda	PP	189	Unonopsis floribunda
nPT_Cimaas_125	SpeciesName	Nyctaginaceae	Guapira	opposita	PT	881	Guapira opposita
nPT_Wayrap_163	SpeciesName	Myrtaceae	Eugenia	excelsa	PT	858	Eugenia excelsa
TRU-04	SpeciesName	Petiveriaceae	Gallesia	integrifolia	abergPP	858	Gallesia integrifolia
nPT_Tamboq_142	SpeciesName	Fabaceae	Sweetia	fruticosa	PT	974	Sweetia fruticosa
nPT_Sumpul_302	SpeciesName	Cyatheaceae	Cyathea	bipinnatifida	PT	1477	Cyathea bipinnatifida
nPT_Cimama_73	MorphoSpeciesName	Melastomataceae	Miconia	AF11591	PT	2030	Miconia AF11591
nPT_Santaa_349	SpeciesName	Clusiaceae	Clusia	lechleri	PT	2200	Clusia lechleri
nPP_Mamaco_3	MorphoSpeciesName	Sapindaceae	Talisia	AEC232	PP	1020	Talisia AEC232
nPT_Cimapa_39	SpeciesName	Meliaceae	Trichilia	pleeana	PT	435	Trichilia pleeana
TRU-01	SpeciesName	Polygonaceae	Ruprechtia	apetala	abergPP	1015	Ruprechtia apetala
nPP_Tintay_24	SpeciesName	Cunoniaceae	Weinmannia	yungasensis	PP	2833	Weinmannia yungasensis
nPT_Cochay_205	MorphoSpeciesName	Cunoniaceae	Weinmannia	AF20062	PT	3021	Weinmannia AF20062
SPD-02	MorphoSpeciesName	Melastomataceae	Miconia	AF10678	abergPP	3103	Miconia AF10678
nPT_Lambra_435	SpeciesName	Cunoniaceae	Weinmannia	davidsonii	PT	3087	Weinmannia davidsonii
nPT_Ruinas_75	MorphoSpeciesName	Clethraceae	Clethra	AF16188	PT	3087	Clethra AF16188
SP-01	MorphoSpeciesName	Melastomataceae	Miconia	MCM810	abergPT	3187	Miconia MCM810
nPT_Tintay_259	SpeciesName	Fabaceae	Inga	bourgonii	PT	360	Inga bourgonii
nPT_Aguapo_51	MorphoSpeciesName	Elaeocarpaceae	Sloanea	MCM239	PT	1579	Sloanea MCM239
nPT_Laaltu_62	SpeciesName	Fabaceae	Inga	cylindrica	PT	1579	Inga cylindrica
nPP_Tocoaq_28	SpeciesName	Rubiaceae	Elaeagia	mariae	PP	1685	Elaeagia mariae
nPP_Chiriu_2	SpeciesName	Ericaceae	Cavendishia	martii	PP	2419	Cavendishia martii
nPT_Resina_194	SpeciesName	Clethraceae	Clethra	cuneata	PT	2419	Clethra cuneata
nPT_Resina_188	SpeciesName	Sabiaceae	Meliosma	herbertii	PT	596	Meliosma herbertii
TRU-05	MorphoSpeciesName	Melastomataceae	Meriania	AF16998	abergPP	1496	Meriania AF16998
nPT_Bejucal_45	SpeciesName	Pentaphylacaceae	Freziera	dudleyi	PT	1469	Freziera dudleyi
nPT_Campam_104	SpeciesName	Euphorbiaceae	Acalypha	cuneata	PT	1145	Acalypha cuneata
nPT_Infier_474	SpeciesName	Sapindaceae	Allophylus	petiolulatus	PT	1124	Allophylus petiolulatus
ESP-01	SpeciesName	Moraceae	Pseudolmedia	laevis	abergPP	215	Pseudolmedia laevis
nPT_Infier_475	SpeciesName	Salicaceae	Casearia	sylvestris	PT	1094	Casearia sylvestris
nPT_Lambra_435	SpeciesName	Rubiaceae	Genipa	americana	PT	400	Genipa americana
nPT_Tumupa_15	SpeciesName	Cunoniaceae	Weinmannia	fagaroides	PT	3243	Weinmannia fagaroides
nPT_Ppmsur_98	SpeciesName	Cyatheaceae	Alsophila	erinacea	PT	2019	Alsophila erinacea
nPT_Santar_418	SpeciesName	Melastomataceae	Miconia	brittonii	PT	2251	Miconia brittonii
nPT_Resina_196	MorphoSpeciesName	Urticaceae	Cecropia	GAT3065	PT	2045	Cecropia GAT3065
nPP_Chaqui_32	MorphoSpeciesName	Rubiaceae	Psychotria	ILR1296	PP	2203	Psychotria ILR1296
nPT_Cerros_182	SpeciesName	Piperaceae	Piper	tucumanum	PT	915	Piper tucumanum
nPT_Cocapu_403	SpeciesName	Anacardiaceae	Astronium	graveolens	PT	360	Astronium graveolens
nPP_Yarimi_9	SpeciesName	Lecythidaceae	Cariniana	domestica	PP	300	Cariniana domestica
nPT_Ppmsur_98	SpeciesName	Lacistemataceae	Lacistema	aggregatum	PT	1780	Lacistema aggregatum
nPT_Tanhua_341	SpeciesName	Rubiaceae	Faramea	candelabrum	PT	1859	Faramea candelabrum
nPT_Tunkul_266	SpeciesName	Rubiaceae	Psychotria	trivialis	PT	1532	Psychotria trivialis
nPP_Sanmar_21	SpeciesName	Melastomataceae	Miconia	bangii	PP	1947	Miconia bangii
nPT_Mara_131	MorphoSpeciesName	Lauraceae	Persea	AF15646	PT	2821	Persea AF15646
nPT_Ladera_145	SpeciesName	Cunoniaceae	Weinmannia	crassifolia	PT	2826	Weinmannia crassifolia
WAY-01	SpeciesName	Lauraceae	Aniba	muca	abergPP	2090	Aniba muca
nPT_Rincon_257	MorphoSpeciesName	Rubiaceae	Psychotria	AM254	PT	1910	Psychotria AM254
nPT_Sumpul_302	SpeciesName	Capparaceae	Capparidastrum	coimbranum	PT	860	Capparidastrum coimbranum
nPP_Huanec_20	SpeciesName	Urticaceae	Urera	lianoides	PP	384	Urera lianoides
nPT_Piara_393	SpeciesName	Rutaceae	Pilocarpus	peruvianus	PT	678	Pilocarpus peruvianus
CA-08	SpeciesName	Celastraceae	Maytenus	floribunda	abergPT	1955	Maytenus floribunda
nPT_Campam_104	SpeciesName	Olacaceae	Ximenia	americana	PT	711	Ximenia americana
nPT_Bosque_481	SpeciesName	Fabaceae	Machaerium	nyctitans	PT	1175	Machaerium nyctitans
nPT_Victop_372	SpeciesName	Rutaceae	Almeidea	rubra	PT	767	Almeidea rubra
TRU-04	MorphoSpeciesName	Rubiaceae	Schizocalyx	MJM5234	abergPP	735	Schizocalyx MJM5234
nPT_Chaqui_148	SpeciesName	Violaceae	Rinorea	viridifolia	PT	905	Rinorea viridifolia
nPT_Planor_102	SpeciesName	Myrtaceae	Myrcia	guianensis	PT	950	Myrcia guianensis
CA-09	SpeciesName	Monimiaceae	Mollinedia	repanda	abergPT	2196	Mollinedia repanda
nPP_Sanmar_23	MorphoSpeciesName	Rubiaceae	Psychotria	AF14766	PP	2244	Psychotria AF14766
TRU-05	SpeciesName	Rubiaceae	Psychotria	carthagenensis	abergPP	2223	Psychotria carthagenensis
nPT_Yariap_11	SpeciesName	Rubiaceae	Coffea	arabica	PT	1321	Coffea arabica
nPT_Lahoya_370	SpeciesName	Clusiaceae	Clusia	elongata	PT	1990	Clusia elongata
nPT_Rocoro_109	SpeciesName	Piperaceae	Piper	percostatum	PT	1532	Piper percostatum
nPT_Codoso_369	SpeciesName	Anacardiaceae	Tapirira	guianensis	PT	1527	Tapirira guianensis
nPP_Yarimi_9	MorphoSpeciesName	Araliaceae	Didymopanax	AF17370	PP	1515	Didymopanax AF17370
nPT_Tumupa_17	SpeciesName	Clusiaceae	Garcinia	gardneriana	PT	1248	Garcinia gardneriana
nPP_Fuerte_27	SpeciesName	Solanaceae	Saracha	punctata	PP	3470	Saracha punctata
nPT_Detras_69	SpeciesName	Araliaceae	Oreopanax	ruizii	PT	3225	Oreopanax ruizii
nPT_Aguapo_50	MorphoSpeciesName	Lauraceae	Cinnamomum	AM3551	PT	2494	Cinnamomum AM3551
nPT_Arroyo_186	MorphoSpeciesName	Clusiaceae	Clusia	ILR1843	PT	2188	Clusia ILR1843
TRU-04	SpeciesName	Clethraceae	Clethra	peruviana	abergPP	2718	Clethra peruviana
nPT_Atawar_110	SpeciesName	Burseraceae	Protium	altissimum	PT	550	Protium altissimum
SP-02	SpeciesName	Malvaceae	Quararibea	wittii	abergPT	425	Quararibea wittii
nPT_Pucara_227	SpeciesName	Meliaceae	Guarea	macrophylla	PT	425	Guarea macrophylla
nPT_Bosque_116	SpeciesName	Myrtaceae	Myrciaria	floribunda	PT	1045	Myrciaria floribunda
SAI-02	SpeciesName	Myrtaceae	Myrcia	subglabra	abergPP	1400	Myrcia subglabra
nPP_Sumpul_33	SpeciesName	Myrtaceae	Eugenia	florida	PP	1790	Eugenia florida
nPT_Tamboq_138	SpeciesName	Myrtaceae	Eugenia	sericea	PT	1790	Eugenia sericea
TRU-03	SpeciesName	Sapotaceae	Chrysophyllum	argenteum	abergPP	820	Chrysophyllum argenteum
nPT_Tumupa_18	SpeciesName	Ulmaceae	Ampelocera	ruizii	PT	820	Ampelocera ruizii
nPT_Catara_327	MorphoSpeciesName	Fabaceae	Dalbergia	MJM5366	PT	930	Dalbergia MJM5366
CA-10	SpeciesName	Euphorbiaceae	Alchornea	triplinervia	abergPT	2150	Alchornea triplinervia
TRU-08	SpeciesName	Linaceae	Roucheria	laxiflora	abergPP	1531	Roucheria laxiflora
nPT_Lambra_440	MorphoSpeciesName	Fabaceae	Inga	LC4645	PT	1489	Inga LC4645
nPT_Arriba_241	SpeciesName	Symplocaceae	Symplocos	debilis	PT	1386	Symplocos debilis
nPT_Cocapu_399	SpeciesName	Sapindaceae	Serjania	lethalis	PT	1386	Serjania lethalis
nPT_Kausil_172	MorphoSpeciesName	Fabaceae	Ormosia	MCM28	PT	1470	Ormosia MCM28
nPT_Chicoi_170	SpeciesName	Myrtaceae	Myrcia	fallax	PT	1430	Myrcia fallax
nPT_Aguapo_50	SpeciesName	Sapotaceae	Pouteria	bilocularis	PT	1430	Pouteria bilocularis
TRU-02	SpeciesName	Chrysobalanaceae	Hymenopus	krukovii	abergPP	1334	Hymenopus krukovii
nPT_Buenah_213	SpeciesName	Buxaceae	Styloceras	brokawii	PT	460	Styloceras brokawii
nPT_Cuchiw_119	SpeciesName	Salicaceae	Lunania	parviflora	PT	580	Lunania parviflora
nPT_Khokho_326	SpeciesName	Chrysobalanaceae	Moquilea	brittoniana	PT	530	Moquilea brittoniana
nPT_Tintay_254	SpeciesName	Bignoniaceae	Fridericia	pearcei	PT	530	Fridericia pearcei
nPP_Chalal_6	SpeciesName	Rosaceae	Prunus	huantensis	PP	3537	Prunus huantensis
nPT_Tumupa_21	SpeciesName	Primulaceae	Myrsine	dependens	PT	3537	Myrsine dependens
nPT_Tomamo_265	SpeciesName	Moraceae	Ficus	maxima	PT	1250	Ficus maxima
nPT_Ruinas_75	SpeciesName	Fabaceae	Tachigali	poeppigiana	PT	850	Tachigali poeppigiana
nPP_Lomasa_39	MorphoSpeciesName	Lauraceae	Nectandra	sp14	PP	3000	Nectandra sp14
nPT_Curich_58	SpeciesName	Cunoniaceae	Weinmannia	reticulata	PT	2750	Weinmannia reticulata
nPT_Tanhua_340	MorphoSpeciesName	Cyatheaceae	Cyathea	sp26	PT	2000	Cyathea sp26
nPT_Aguapo_50	SpeciesName	Cyatheaceae	Cyathea	lechleri	PT	1800	Cyathea lechleri
nPT_Bosque_487	SpeciesName	Annonaceae	Guatteria	punctata	PT	1800	Guatteria punctata
nPP_Collpa_48	SpeciesName	Meliaceae	Guarea	kunthiana	PP	1521	Guarea kunthiana
nPT_Chicoi_170	MorphoSpeciesName	Cyatheaceae	Cyathea	sp13	PT	1250	Cyathea sp13
TRU-07	SpeciesName	Rubiaceae	Coussarea	brevicaulis	abergPP	1250	Coussarea brevicaulis
nPT_Ruinas_35	SpeciesName	Melastomataceae	Miconia	setulosa	PT	3522	Miconia setulosa
nPT_Santaa_345	SpeciesName	Melastomataceae	Miconia	media	PT	3627	Miconia media
nPP_Chaqui_31	MorphoSpeciesName	Clethraceae	Clethra	sp1	PP	3376	Clethra sp1
nPP_Tocoaq_28	SpeciesName	Chloranthaceae	Hedyosmum	goudotianum	PP	2548	Hedyosmum goudotianum
nPP_Pintat_5	SpeciesName	Malvaceae	Ceiba	speciosa	PP	835	Ceiba speciosa
nPT_Alsudd_248	SpeciesName	Rutaceae	Zanthoxylum	tambopatense	PT	835	Zanthoxylum tambopatense
SPD-01	SpeciesName	Lauraceae	Nectandra	cissiflora	abergPP	1232	Nectandra cissiflora
TRU-01	SpeciesName	Podocarpaceae	Podocarpus	oleifolius	abergPP	1890	Podocarpus oleifolius
nPP_Hondo_1	SpeciesName	Moraceae	Brosimum	lactescens	PP	1247	Brosimum lactescens
nPP_Buenah_15	SpeciesName	Dilleniaceae	Doliocarpus	novogranatensis	PP	190	Doliocarpus novogranatensis
nPT_Sendae_371	SpeciesName	Apocynaceae	Aspidosperma	parvifolium	PT	933	Aspidosperma parvifolium
TRU-07	SpeciesName	Fabaceae	Inga	edulis	abergPP	1522	Inga edulis
nPT_Frente_414	SpeciesName	Rubiaceae	Bathysa	australis	PT	1522	Bathysa australis
nPT_Karapa_269	MorphoSpeciesName	Lauraceae	Nectandra	NCH72	PT	1538	Nectandra NCH72
nPT_Victop_374	SpeciesName	Elaeocarpaceae	Sloanea	pubescens	PT	1054	Sloanea pubescens
nPT_Palmit_144	SpeciesName	Melastomataceae	Miconia	dolichorrhyncha	PT	1054	Miconia dolichorrhyncha
nPP_Lomasa_39	SpeciesName	Rubiaceae	Ferdinandusa	chlorantha	PP	1054	Ferdinandusa chlorantha
nPT_Tamboq_140	SpeciesName	Moraceae	Ficus	americana	PT	1626	Ficus americana
nPT_Cabece_149	SpeciesName	Opiliaceae	Agonandra	excelsa	PT	1020	Agonandra excelsa
nPT_Palmar_108	SpeciesName	Meliaceae	Trichilia	catigua	PT	1020	Trichilia catigua
nPT_Tumupa_19	SpeciesName	Meliaceae	Trichilia	elegans	PT	1020	Trichilia elegans
nPP_Mamaco_3	SpeciesName	Moraceae	Sorocea	guilleminiana	PP	1223	Sorocea guilleminiana
nPT_Resina_190	SpeciesName	Anacardiaceae	Mauria	heterophylla	PT	1804	Mauria heterophylla
TU-07	SpeciesName	Fabaceae	Machaerium	millei	abergPT	1804	Machaerium millei
nPP_Resina_13	SpeciesName	Melastomataceae	Miconia	boliviensis	PP	2889	Miconia boliviensis
nPP_Kañupa_44	MorphoSpeciesName	Melastomataceae	Miconia	LC3463	PP	2889	Miconia LC3463
nPP_Resina_14	SpeciesName	Lauraceae	Beilschmiedia	tovarensis	PP	1400	Beilschmiedia tovarensis
nPT_Arriba_224	SpeciesName	Urticaceae	Pourouma	minor	PT	1468	Pourouma minor
SPD-02	MorphoSpeciesName	Clusiaceae	Clusia	AF14913	abergPP	2400	Clusia AF14913
nPT_Sumpul_297	SpeciesName	Chloranthaceae	Hedyosmum	lechleri	PT	2400	Hedyosmum lechleri
nPT_Buenah_218	SpeciesName	Phyllanthaceae	Hieronyma	alchorneoides	PT	362	Hieronyma alchorneoides
nPT_Cerrad_150	SpeciesName	Clusiaceae	Clusia	multiflora	PT	3035	Clusia multiflora
nPT_Panteo_202	SpeciesName	Fabaceae	Amburana	cearensis	PT	1000	Amburana cearensis
nPT_Lambra_435	SpeciesName	Fabaceae	Apuleia	leiocarpa	PT	1180	Apuleia leiocarpa
nPT_Laguna_38	SpeciesName	Verbenaceae	Petrea	maynensis	PT	420	Petrea maynensis
nPP_Kañupa_44	SpeciesName	Arecaceae	Socratea	exorrhiza	PP	260	Socratea exorrhiza
nPT_Culi_360	SpeciesName	Boraginaceae	Cordia	nodosa	PT	270	Cordia nodosa
nPP_Yarimi_10	SpeciesName	Clusiaceae	Chrysochlamys	macrophylla	PP	940	Chrysochlamys macrophylla
nPT_Arroyo_225	SpeciesName	Burseraceae	Protium	unifoliolatum	PT	310	Protium unifoliolatum
nPT_Tumupa_14	SpeciesName	Burseraceae	Protium	rhynchophyllum	PT	310	Protium rhynchophyllum
nPT_Palmar_108	SpeciesName	Bignoniaceae	Fridericia	schumanniana	PT	1297	Fridericia schumanniana
nPP_Tanhua_37	SpeciesName	Burseraceae	Protium	montanum	PP	1588	Protium montanum
TRU-07	SpeciesName	Ulmaceae	Phyllostylon	rhamnoides	abergPP	651	Phyllostylon rhamnoides
nPT_Subida_226	SpeciesName	Melastomataceae	Miconia	polygama	PT	2663	Miconia polygama
WAY-01	MorphoSpeciesName	Sapotaceae	Sarcaulus	ETP181	abergPP	350	Sarcaulus ETP181
nPP_Tocoaq_30	SpeciesName	Myrtaceae	Siphoneugena	occidentalis	PP	1766	Siphoneugena occidentalis
QU-01	MorphoSpeciesName	Primulaceae	Myrsine	DAR264	abergPT	1735	Myrsine DAR264
nPT_Bajopp_179	SpeciesName	Erythroxylaceae	Erythroxylum	subrotundum	PT	940	Erythroxylum subrotundum
nPT_Orilla_68	SpeciesName	Celastraceae	Schaefferia	argentinensis	PT	960	Schaefferia argentinensis
nPT_Cimach_86	SpeciesName	Phyllanthaceae	Astrocasia	jacobinensis	PT	811	Astrocasia jacobinensis
nPP_Sumpul_34	SpeciesName	Arecaceae	Chamaedorea	angustisecta	PP	774	Chamaedorea angustisecta
nPT_Patasa_325	SpeciesName	Sapotaceae	Pouteria	hispida	PT	1477	Pouteria hispida
nPT_Sendae_371	MorphoSpeciesName	Melastomataceae	Miconia	GAT2279	PT	1324	Miconia GAT2279
nPT_Atawar_110	MorphoSpeciesName	Piperaceae	Piper	LC2689	PT	1656	Piper LC2689
nPT_Tunkul_266	SpeciesName	Myrtaceae	Myrcia	mollis	PT	2030	Myrcia mollis
nPT_Tumupa_19	MorphoSpeciesName	Melastomataceae	Miconia	GAT860	PT	1020	Miconia GAT860
nPT_Fuerte_268	SpeciesName	Rubiaceae	Amaioua	guianensis	PT	1046	Amaioua guianensis
WAY-01	SpeciesName	Siparunaceae	Siparuna	guianensis	abergPP	320	Siparuna guianensis
SP-02	SpeciesName	Melastomataceae	Miconia	micropetala	abergPT	2801	Miconia micropetala
nPT_Cerro1_83	SpeciesName	Ericaceae	Polyclita	turbinata	PT	2833	Polyclita turbinata
nPP_Terraz_41	SpeciesName	Cunoniaceae	Weinmannia	parvifolia	PP	2985	Weinmannia parvifolia
nPP_Tapuri_45	SpeciesName	Cyatheaceae	Cyathea	squamipes	PP	2985	Cyathea squamipes
nPT_Piara_395	MorphoSpeciesName	Symplocaceae	Symplocos	GAT2760	PT	3187	Symplocos GAT2760
nPT_Tumupa_22	MorphoSpeciesName	Lauraceae	Nectandra	CMG2353	PT	360	Nectandra CMG2353
nPP_Javill_18	MorphoSpeciesName	Solanaceae	Cestrum	LC3589	PP	2698	Cestrum LC3589
nPT_Tapuri_407	SpeciesName	Ericaceae	Gaultheria	reticulata	PT	2419	Gaultheria reticulata
TRU-06	SpeciesName	Myrtaceae	Myrcia	paivae	abergPP	2419	Myrcia paivae
nPT_Fuerte_271	MorphoSpeciesName	Fabaceae	Swartzia	CMG2219	PT	596	Swartzia CMG2219
nPT_Culi_356	SpeciesName	Euphorbiaceae	Aparisthmium	cordatum	PT	1239	Aparisthmium cordatum
ACJ-01	SpeciesName	Moraceae	Pseudolmedia	rigida	abergPP	1469	Pseudolmedia rigida
RE-01	SpeciesName	Melastomataceae	Miconia	punctata	abergPT	1469	Miconia punctata
nPP_Tocoaq_30	SpeciesName	Myristicaceae	Otoba	glycycarpa	PP	280	Otoba glycycarpa
nPT_Tanhua_340	SpeciesName	Clusiaceae	Symphonia	globulifera	PT	424	Symphonia globulifera
nPT_Resina_187	MorphoSpeciesName	Myristicaceae	Virola	AEC312	PT	1017	Virola AEC312
nPT_Cimade_195	MorphoSpeciesName	Gesneriaceae	Besleria	LC2594	PT	1752	Besleria LC2594
nPT_Yuyo_155	SpeciesName	Bignoniaceae	Bignonia	nocturna	PT	232	Bignonia nocturna
nPT_Laaltu_61	MorphoSpeciesName	Sapindaceae	Talisia	LC1776	PT	679	Talisia LC1776
nPT_Cabece_255	SpeciesName	Trigoniaceae	Trigonia	boliviana	PT	827	Trigonia boliviana
nPP_Sanmar_23	SpeciesName	Clethraceae	Clethra	cardenasii	PP	3076	Clethra cardenasii
nPT_Resina_198	SpeciesName	Lauraceae	Nectandra	acutifolia	PT	1750	Nectandra acutifolia
nPT_Santaa_348	MorphoSpeciesName	Fabaceae	Lonchocarpus	ALM115	PT	1036	Lonchocarpus ALM115
nPP_Sumpul_33	SpeciesName	Celastraceae	Salacia	macrantha	PP	340	Salacia macrantha
nPP_Terraz_41	SpeciesName	Sapindaceae	Thinouia	compressa	PP	923	Thinouia compressa
nPT_Lahoya_370	MorphoSpeciesName	Meliaceae	Guarea	PCL99	PT	400	Guarea PCL99
nPT_Piara_390	SpeciesName	Aquifoliaceae	Ilex	sessiliflora	PT	3243	Ilex sessiliflora
nPT_Arroyo_225	MorphoSpeciesName	Rubiaceae	Psychotria	GAT1163	PT	2045	Psychotria GAT1163
nPT_Piedem_103	SpeciesName	Piperaceae	Piper	bolivianum	PT	2045	Piper bolivianum
nPP_Tapuri_46	MorphoSpeciesName	Melastomataceae	Miconia	AF17614A	PP	2203	Miconia AF17614A
nPT_Santaa_347	SpeciesName	Piperaceae	Piper	mercens	PT	2203	Piper mercens
nPP_Mamaco_3	MorphoSpeciesName	Araliaceae	Sciodaphyllum	AF11185	PP	1452	Sciodaphyllum AF11185
nPP_Titiri_42	SpeciesName	Fabaceae	Dussia	tessmannii	PP	360	Dussia tessmannii
AP-01	SpeciesName	Picramniaceae	Picramnia	spruceana	abergPT	300	Picramnia spruceana
nPT_Piedem_103	SpeciesName	Lauraceae	Ocotea	olivacea	PT	1489	Ocotea olivacea
nPT_Cimaas_125	SpeciesName	Euphorbiaceae	Sapium	marmieri	PT	361	Sapium marmieri
nPT_Chicoi_170	SpeciesName	Primulaceae	Cybianthus	lepidotus	PT	1859	Cybianthus lepidotus
nPP_Javill_18	SpeciesName	Aquifoliaceae	Ilex	petiolaris	PP	1070	Ilex petiolaris
nPT_Buenah_207	SpeciesName	Melastomataceae	Axinaea	glandulosa	PT	2866	Axinaea glandulosa
nPT_Virgen_151	SpeciesName	Chloranthaceae	Hedyosmum	dombeyanum	PT	2821	Hedyosmum dombeyanum
nPP_Lechem_50	SpeciesName	Campanulaceae	Siphocampylus	orbignianus	PP	2987	Siphocampylus orbignianus
nPP_Chaqui_31	SpeciesName	Myrtaceae	Eugenia	ligustrina	PP	1217	Eugenia ligustrina
nPT_Culi_355	SpeciesName	Fabaceae	Luetzelburgia	andina	PT	1217	Luetzelburgia andina
nPP_Buenah_16	SpeciesName	Moraceae	Poulsenia	armata	PP	335	Poulsenia armata
ESP-01	SpeciesName	Lauraceae	Ocotea	albida	abergPP	2000	Ocotea albida
nPT_Planop_82	SpeciesName	Rubiaceae	Psychotria	reticulata	PT	2000	Psychotria reticulata
